,duration,speaker_id,gender
106,audio_2188.983_2190.873,SPEAKER_04,male
107,audio_2281.93_2287.229,SPEAKER_04,male
108,audio_2406.94_2411.007,SPEAKER_04,male
109,audio_2483.03_2487.974,SPEAKER_04,male
110,audio_2522.315_2528.036,SPEAKER_04,male
111,audio_2528.997_2530.364,SPEAKER_04,male
112,audio_2535.545_2548.809,SPEAKER_04,male
113,audio_2558.377_2568.148,SPEAKER_04,male
114,audio_2581.951_2587.098,SPEAKER_04,male
115,audio_2672.654_2677.632,SPEAKER_04,male
116,audio_2694.912_2712.546,SPEAKER_04,male
117,audio_2714.183_2716.647,SPEAKER_04,male
118,audio_2721.052_2751.731,SPEAKER_04,male
119,audio_2755.426_2757.3669999999997,SPEAKER_04,male
120,audio_2760.303_2771.5589999999997,SPEAKER_04,male
121,audio_2777.549_2779.912,SPEAKER_04,male
122,audio_2790.509_2792.703,SPEAKER_04,male
123,audio_2797.883_2829.3039999999996,SPEAKER_04,male
124,audio_13.323_14.589,SPEAKER_05,male
125,audio_17.997_21.895,SPEAKER_05,male
126,audio_25.912_34.265,SPEAKER_05,male
127,audio_36.661_44.829,SPEAKER_05,male
128,audio_427.385_428.51599999999996,SPEAKER_05,male
129,audio_465.438_469.454,SPEAKER_05,male
130,audio_488.506_491.27399999999994,SPEAKER_05,male
131,audio_551.905_558.453,SPEAKER_05,male
132,audio_634.508_640.043,SPEAKER_05,male
133,audio_668.444_674.7379999999999,SPEAKER_05,male
134,audio_714.817_722.107,SPEAKER_05,male
135,audio_918.228_925.7879999999999,SPEAKER_05,male
136,audio_936.622_941.482,SPEAKER_05,male
137,audio_1205.44_1212.949,SPEAKER_05,male
138,audio_1310.639_1313.491,SPEAKER_05,male
139,audio_1618.844_1632.142,SPEAKER_05,male
140,audio_1632.952_1648.747,SPEAKER_05,male
141,audio_2097.942_2102.481,SPEAKER_05,male
142,audio_2117.686_2119.559,SPEAKER_05,male
143,audio_2273.341_2282.9429999999998,SPEAKER_05,male
144,audio_2685.091_2687.909,SPEAKER_05,male
145,audio_2720.427_2722.924,SPEAKER_05,male
146,audio_2830.317_2853.588,SPEAKER_05,male
147,audio_2854.938_2874.1420000000003,SPEAKER_05,male
148,audio_44.744_47.495,SPEAKER_03,female
149,audio_48.608_55.274,SPEAKER_03,female
150,audio_55.915_57.147,SPEAKER_03,female
151,audio_57.907_71.87899999999999,SPEAKER_03,female
152,audio_73.077_113.91499999999999,SPEAKER_03,female
153,audio_125.677_136.848,SPEAKER_03,female
154,audio_273.35_277.923,SPEAKER_03,female
155,audio_289.448_337.306,SPEAKER_03,female
156,audio_345.71_346.959,SPEAKER_03,female
157,audio_357.944_362.095,SPEAKER_03,female
158,audio_367.394_376.439,SPEAKER_03,female
159,audio_400.604_408.957,SPEAKER_03,female
160,audio_425.073_435.957,SPEAKER_03,female
161,audio_447.77_453.001,SPEAKER_03,female
162,audio_472.323_475.22499999999997,SPEAKER_03,female
163,audio_509.515_511.776,SPEAKER_03,female
164,audio_519.269_520.855,SPEAKER_03,female
165,audio_528.905_535.486,SPEAKER_03,female
166,audio_546.033_550.184,SPEAKER_03,female
167,audio_579.243_581.639,SPEAKER_03,female
168,audio_603.661_608.656,SPEAKER_03,female
169,audio_611.255_621.903,SPEAKER_03,female
170,audio_625.953_628.957,SPEAKER_03,female
171,audio_666.892_669.845,SPEAKER_03,female
172,audio_674.114_697.722,SPEAKER_03,female
173,audio_701.198_713.0609999999999,SPEAKER_03,female
174,audio_722.95_774.182,SPEAKER_03,female
175,audio_775.6_776.731,SPEAKER_03,female
176,audio_816.742_819.0369999999999,SPEAKER_03,female
177,audio_828.689_831.862,SPEAKER_03,female
178,audio_835.473_836.519,SPEAKER_03,female
179,audio_845.007_862.371,SPEAKER_03,female
180,audio_875.315_879.956,SPEAKER_03,female
181,audio_886.452_890.485,SPEAKER_03,female
